# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_6_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_6/O21_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_6/O21_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_6/O21_2.bam	RPKG
14_5	k141_121700	2248	3657	-	1410	0	0
15_1	k141_177019	3	239	+	237	0	0
15_2	k141_177019	489	809	-	321	0	0
15_3	k141_177019	940	1254	-	315	0	0
16_1	k141_199143	3	743	-	741	9	0.0126373
16_2	k141_199143	759	1079	-	321	11	0.0356549
16_3	k141_199143	1076	1762	-	687	31	0.0469501
16_4	k141_199143	2136	2693	+	558	32	0.0596688
16_5	k141_199143	2849	3841	+	993	38	0.0398167
17_1	k141_121701	1	1059	+	1059	0	0
18_1	k141_66391	2	1375	+	1374	0	0
18_2	k141_66391	1372	1491	+	120	0	0
19_1	k141_88512	3	158	+	156	0	0
19_2	k141_88512	152	961	-	810	18	0.0231216
19_3	k141_88512	1010	2551	+	1542	13	0.00877183
19_4	k141_88512	2699	3247	+	549	18	0.0341139
19_5	k141_88512	3249	4370	+	1122	16	0.0148374
20_1	k141_210212	1	480	-	480	0	0
20_2	k141_210212	725	1168	+	444	0	0
20_3	k141_210212	1451	1555	+	105	0	0
21_1	k141_165959	2	67	-	66	0	0
21_2	k141_165959	204	704	-	501	0	0
21_3	k141_165959	965	1951	-	987	0	0
22_1	k141_110638	2	1897	+	1896	6	0.00329264
22_2	k141_110638	1987	3114	+	1128	0	0
22_3	k141_110638	3242	3886	+	645	2	0.00322628
23_1	k141_121705	130	1218	+	1089	3	0.00286632
24_1	k141_66394	300	1052	+	753	0	0
25_1	k141_11072	3	443	-	441	0	0
25_2	k141_11072	755	1816	+	1062	1	0.000979731
25_3	k141_11072	1885	2325	-	441	2	0.0047187
25_4	k141_11072	2500	3351	+	852	0	0
25_5	k141_11072	3560	4180	+	621	2	0.00335096
25_6	k141_11072	4198	4593	+	396	5	0.0131373
26_1	k141_77458	1	120	-	120	0	0
26_2	k141_77458	125	1012	-	888	0	0
26_3	k141_77458	1308	2084	+	777	0	0
26_4	k141_77458	2117	2854	+	738	0	0
26_5	k141_77458	2997	3986	-	990	0	0
27_1	k141_66397	1	807	-	807	0	0
27_2	k141_66397	901	1941	-	1041	0	0
28_1	k141_165960	21	476	-	456	36	0.0821427
28_2	k141_165960	532	1470	-	939	84	0.0930776
28_3	k141_165960	1882	3573	+	1692	107	0.0657983
28_4	k141_165960	3661	4248	-	588	33	0.058394
28_5	k141_165960	4238	4495	-	258	3	0.0120985
29_1	k141_99574	1	237	+	237	0	0
29_2	k141_99574	234	1001	+	768	5	0.00677392
29_3	k141_99574	995	2407	+	1413	5	0.00368179
29_4	k141_99574	2404	2976	+	573	0	0
29_5	k141_99574	3031	3687	+	657	0	0
29_6	k141_99574	3793	4224	+	432	0	0
29_7	k141_99574	4279	5163	+	885	0	0
29_8	k141_99574	5174	5863	+	690	1	0.00150793
29_9	k141_99574	5867	7297	+	1431	0	0
29_10	k141_99574	7309	8262	+	954	0	0
29_11	k141_99574	8302	10695	+	2394	0	0
30_1	k141_77462	95	1000	+	906	0	0
31_1	k141_121706	1	2073	-	2073	4	0.00200767
31_2	k141_121706	2510	3148	-	639	10	0.0162829
31_3	k141_121706	3270	4175	+	906	1	0.00114843
32_1	k141_154905	73	501	+	429	0	0
32_2	k141_154905	562	1353	+	792	0	0
32_3	k141_154905	1399	2589	+	1191	2	0.00174723
32_4	k141_154905	2677	3141	+	465	2	0.00447516
32_5	k141_154905	3157	3231	+	75	0	0
33_1	k141_132770	2	721	-	720	22	0.0317923
33_2	k141_132770	928	2415	+	1488	65	0.0454508
33_3	k141_132770	2533	3396	+	864	27	0.0325148
33_4	k141_132770	3623	5740	+	2118	76	0.0373352
33_5	k141_132770	5997	7361	+	1365	65	0.0495464
33_6	k141_132770	7774	8091	+	318	14	0.045807
33_7	k141_132770	8143	8238	+	96	0	0
34_1	k141_88514	3	1760	+	1758	0	0
34_2	k141_88514	1932	2606	+	675	0	0
34_3	k141_88514	2603	3952	+	1350	0	0
34_4	k141_88514	4083	5006	+	924	2	0.00225211
34_5	k141_88514	5131	5331	+	201	0	0
35_1	k141_210214	3	1199	-	1197	28	0.0243386
35_2	k141_210214	1224	1319	-	96	0	0
35_3	k141_210214	1404	1847	-	444	18	0.0421814
35_4	k141_210214	2066	2914	-	849	10	0.0122553
35_5	k141_210214	3002	3775	-	774	11	0.0147871
35_6	k141_210214	3872	3961	-	90	4	0.0462433
35_7	k141_210214	3961	4263	-	303	2	0.00686782
35_8	k141_210214	4450	6162	-	1713	24	0.0145776
35_9	k141_210214	6230	6424	-	195	0	0
36_1	k141_66404	1	1095	-	1095	4	0.00380082
36_2	k141_66404	1237	1797	-	561	0	0
37_1	k141_22131	2	166	+	165	0	0
37_2	k141_22131	226	1455	+	1230	0	0
37_3	k141_22131	1483	2805	+	1323	0	0
37_4	k141_22131	2830	3585	-	756	0	0
37_5	k141_22131	3824	4474	+	651	0	0
37_6	k141_22131	4761	6257	+	1497	2	0.00139008
37_7	k141_22131	6251	7264	+	1014	0	0
37_8	k141_22131	7345	8541	+	1197	0	0
37_9	k141_22131	8541	9542	+	1002	3	0.00311519
37_10	k141_22131	9574	10068	-	495	0	0
37_11	k141_22131	10056	10799	-	744	0	0
38_1	k141_33203	265	1101	-	837	2	0.0024862
38_2	k141_33203	1304	1741	-	438	3	0.00712654
38_3	k141_33203	2368	4140	-	1773	8	0.00469475
38_4	k141_33203	4249	4761	+	513	3	0.00608464
38_5	k141_33203	4772	5530	+	759	0	0
38_6	k141_33203	5571	7058	-	1488	5	0.00349622
38_7	k141_33203	7528	8028	-	501	0	0
38_8	k141_33203	8313	8645	+	333	0	0
38_9	k141_33203	8677	9606	+	930	5	0.00559395
38_10	k141_33203	9599	10132	+	534	3	0.00584536
38_11	k141_33203	10150	11166	+	1017	9	0.00920774
38_12	k141_33203	11191	11538	-	348	1	0.00298987
38_13	k141_33203	11526	11804	-	279	0	0
39_1	k141_121707	306	1970	+	1665	64	0.0399942
39_2	k141_121707	2030	2908	-	879	17	0.0201229
40_1	k141_210215	2	1261	+	1260	0	0
40_2	k141_210215	1308	1937	+	630	0	0
41_1	k141_44261	3	530	+	528	3	0.00591179
41_2	k141_44261	570	794	+	225	0	0
41_3	k141_44261	898	1341	+	444	0	0
41_4	k141_44261	1441	2661	+	1221	9	0.00766934
41_5	k141_44261	2749	3087	+	339	0	0
41_6	k141_44261	3112	5064	+	1953	8	0.00426206
41_7	k141_44261	5387	7417	-	2031	0	0
41_8	k141_44261	7585	8001	-	417	0	0
41_9	k141_44261	8118	9065	-	948	0	0
41_10	k141_44261	9279	9488	+	210	0	0
41_11	k141_44261	9548	9784	+	237	0	0
41_12	k141_44261	10052	11260	+	1209	0	0
41_13	k141_44261	11282	12874	+	1593	7	0.00457208
42_1	k141_188077	1	303	-	303	32	0.109885
42_2	k141_188077	500	1723	-	1224	69	0.0586542
42_3	k141_188077	1776	3068	-	1293	89	0.0716181
42_4	k141_188077	3242	3745	+	504	46	0.0949639
42_5	k141_188077	4252	5514	-	1263	68	0.0560192
42_6	k141_188077	5507	6193	-	687	45	0.0681533
42_7	k141_188077	6254	8038	-	1785	104	0.0606215
42_8	k141_188077	8028	8723	-	696	32	0.0478379
42_9	k141_188077	8745	9512	-	768	35	0.0474174
42_10	k141_188077	9627	9755	-	129	21	0.16938
42_11	k141_188077	10048	10251	-	204	22	0.112208
42_12	k141_188077	10346	11623	-	1278	59	0.0480344
42_13	k141_188077	11705	14008	-	2304	144	0.0650296
42_14	k141_188077	14126	15601	-	1476	106	0.0747224
43_1	k141_99583	3	1097	-	1095	3	0.00285061
44_1	k141_210218	112	1197	-	1086	6	0.00574848
44_2	k141_210218	1199	2008	-	810	0	0
45_1	k141_110644	588	878	-	291	0	0
45_2	k141_110644	891	1922	-	1032	0	0
45_3	k141_110644	1922	2584	-	663	0	0
45_4	k141_110644	2584	3495	-	912	0	0
45_5	k141_110644	3496	5250	-	1755	3	0.00177859
45_6	k141_110644	5247	5909	-	663	0	0
45_7	k141_110644	5935	6375	-	441	0	0
45_8	k141_110644	6359	6823	-	465	0	0
46_1	k141_199144	1346	1855	+	510	0	0
46_2	k141_199144	2933	4084	+	1152	0	0
46_3	k141_199144	4087	4875	+	789	0	0
46_4	k141_199144	4887	5027	+	141	0	0
46_5	k141_199144	5020	6330	+	1311	0	0
46_6	k141_199144	6339	7442	+	1104	0	0
46_7	k141_199144	7764	8000	+	237	0	0
46_8	k141_199144	8068	9339	+	1272	3	0.00245395
46_9	k141_199144	9341	9529	+	189	0	0
46_10	k141_199144	9591	10472	+	882	0	0
46_11	k141_199144	10549	11199	-	651	1	0.00159827
46_12	k141_199144	11211	11909	-	699	0	0
46_13	k141_199144	11927	12760	-	834	0	0
46_14	k141_199144	12772	13068	-	297	0	0
47_1	k141_188078	33	938	+	906	918	1.05426
47_2	k141_188078	942	1514	+	573	472	0.857075
47_3	k141_188078	1514	2374	+	861	554	0.669481
47_4	k141_188078	2399	3475	+	1077	852	0.823105
47_5	k141_188078	3475	3672	+	198	87	0.457178
48_1	k141_154927	3	182	-	180	0	0
48_2	k141_154927	322	471	+	150	0	0
48_3	k141_154927	440	1063	-	624	0	0
48_4	k141_154927	1132	1437	-	306	0	0
49_1	k141_33210	2	118	+	117	0	0
49_2	k141_33210	173	337	+	165	0	0
49_3	k141_33210	381	815	+	435	9	0.0215271
49_4	k141_33210	866	2047	+	1182	53	0.0466541
49_5	k141_33210	2065	3015	+	951	27	0.0295403
50_1	k141_22135	2	571	-	570	0	0
50_2	k141_22135	812	2038	-	1227	6	0.00508789
50_3	k141_22135	2100	3242	-	1143	10	0.00910301
50_4	k141_22135	3374	4396	+	1023	11	0.0111879
51_1	k141_11075	3	758	-	756	0	0
51_2	k141_11075	783	2879	-	2097	0	0
51_3	k141_11075	2911	5568	-	2658	0	0
51_4	k141_11075	5656	6933	-	1278	0	0
51_5	k141_11075	6947	8380	-	1434	9	0.00653017
51_6	k141_11075	8428	9165	-	738	7	0.009869
52_1	k141_177024	1	75	-	75	1	0.013873
52_2	k141_177024	146	409	-	264	0	0
52_3	k141_177024	462	1784	-	1323	0	0
52_4	k141_177024	1759	2649	-	891	9	0.0105098
52_5	k141_177024	2774	3871	-	1098	7	0.00663326
52_6	k141_177024	3868	4302	-	435	5	0.0119595
52_7	k141_177024	4446	5150	-	705	12	0.0177102
52_8	k141_177024	5273	7597	-	2325	35	0.0156631
52_9	k141_177024	7616	8605	-	990	31	0.0325805
52_10	k141_177024	8859	11699	-	2841	40	0.0146494
52_11	k141_177024	11860	13002	-	1143	28	0.0254884
52_12	k141_177024	13032	13388	-	357	2	0.00582899
52_13	k141_177024	13490	15046	-	1557	45	0.0300715
53_1	k141_88521	2	103	+	102	0	0
53_2	k141_88521	126	506	-	381	0	0
53_3	k141_88521	511	1323	-	813	0	0
53_4	k141_88521	1458	1859	-	402	0	0
53_5	k141_88521	1872	3827	-	1956	0	0
53_6	k141_88521	3925	4296	-	372	0	0
53_7	k141_88521	4352	4561	-	210	0	0
54_1	k141_210224	2	139	-	138	0	0
54_2	k141_210224	215	865	-	651	1	0.00159827
54_3	k141_210224	879	1454	-	576	0	0
55_1	k141_44270	3	935	-	933	0	0
55_2	k141_44270	947	1498	-	552	0	0
56_1	k141_143829	1	1980	+	1980	47	0.0246981
56_2	k141_143829	2290	3690	+	1401	58	0.0430746
56_3	k141_143829	3819	4793	+	975	29	0.0309474
56_4	k141_143829	4805	5641	+	837	40	0.049724
56_5	k141_143829	5866	7530	+	1665	81	0.0506177
56_6	k141_143829	7527	9344	+	1818	73	0.0417792
56_7	k141_143829	9410	10885	+	1476	55	0.0387711
56_8	k141_143829	10867	12744	-	1878	123	0.0681461
56_9	k141_143829	12915	13763	+	849	46	0.0563743
56_10	k141_143829	13760	14494	+	735	37	0.0523776
56_11	k141_143829	14514	15725	-	1212	69	0.0592349
56_12	k141_143829	15751	17046	-	1296	104	0.0834948
56_13	k141_143829	17342	19144	+	1803	62	0.0357789
56_14	k141_143829	19169	19369	-	201	2	0.010353
57_1	k141_177025	1	873	+	873	0	0
57_2	k141_177025	921	1091	+	171	0	0
58_1	k141_188080	3	1895	-	1893	1	0.000549643
59_1	k141_165962	114	1496	+	1383	4	0.00300933
59_2	k141_165962	1563	2165	+	603	1	0.0017255
59_3	k141_165962	2216	3799	-	1584	8	0.00525492
59_4	k141_165962	3820	4251	-	432	0	0
59_5	k141_165962	4625	5977	-	1353	1	0.000769013
59_6	k141_165962	5988	7004	-	1017	6	0.00613849
59_7	k141_165962	7096	7878	-	783	0	0
59_8	k141_165962	7913	10285	-	2373	0	0
59_9	k141_165962	10328	10567	-	240	0	0
60_1	k141_154930	3	824	-	822	0	0
60_2	k141_154930	826	1602	-	777	0	0
61_1	k141_44273	3	608	-	606	8	0.0137356
61_2	k141_44273	1016	1252	-	237	6	0.0263411
62_1	k141_55348	3	428	+	426	0	0
62_2	k141_55348	407	1315	+	909	0	0
62_3	k141_55348	1366	2343	+	978	11	0.0117027
62_4	k141_55348	2396	3334	+	939	3	0.0033242
62_5	k141_55348	3331	4497	+	1167	13	0.0115905
62_6	k141_55348	4575	6755	+	2181	0	0
62_7	k141_55348	6774	8171	+	1398	7	0.00520981
62_8	k141_55348	8172	10016	+	1845	0	0
62_9	k141_55348	10041	14015	+	3975	24	0.00628211
62_10	k141_55348	14109	14852	+	744	4	0.00559395
62_11	k141_55348	14989	15426	+	438	3	0.00712654
63_1	k141_110650	328	984	-	657	1	0.00158367
64_1	k141_143831	1	441	-	441	1	0.00235935
64_2	k141_143831	462	1592	+	1131	0	0
64_3	k141_143831	1626	2057	+	432	0	0
65_1	k141_121708	1	228	-	228	2	0.00912697
65_2	k141_121708	315	1664	-	1350	29	0.0223509
65_3	k141_121708	1683	2120	-	438	6	0.0142531
65_4	k141_121708	2163	3170	-	1008	20	0.0206443
65_5	k141_121708	3172	3897	-	726	12	0.0171979
65_6	k141_121708	4051	5253	-	1203	19	0.0164331
65_7	k141_121708	5558	7237	-	1680	48	0.0297278
65_8	k141_121708	7230	8276	-	1047	13	0.012919
66_1	k141_177030	3	1463	+	1461	14	0.00997032
67_1	k141_66412	1	339	+	339	1	0.00306925
67_2	k141_66412	428	736	-	309	0	0
67_3	k141_66412	911	2164	-	1254	8	0.00663779
67_4	k141_66412	2154	3353	-	1200	10	0.00867062
67_5	k141_66412	3422	4672	-	1251	9	0.00748543
67_6	k141_66412	4880	5440	-	561	7	0.0129827
67_7	k141_66412	5391	5912	-	522	1	0.00199325
67_8	k141_66412	5915	6490	-	576	11	0.0198702
67_9	k141_66412	6602	6880	-	279	0	0
67_10	k141_66412	6987	8198	+	1212	16	0.0137356
68_1	k141_99585	119	328	+	210	0	0
68_2	k141_99585	387	608	+	222	4	0.0187473
68_3	k141_99585	776	2968	+	2193	10	0.00474452
68_4	k141_99585	2987	3232	+	246	0	0
68_5	k141_99585	3371	4375	+	1005	4	0.00414119
68_6	k141_99585	4464	4709	+	246	0	0
68_7	k141_99585	5373	6767	-	1395	10	0.0074586
69_1	k141_199154	1	861	-	861	2	0.0024169
69_2	k141_199154	872	1378	-	507	3	0.00615665
69_3	k141_199154	1421	2587	-	1167	27	0.0240727
70_1	k141_33211	3	611	-	609	3	0.00512549
70_2	k141_33211	624	1931	-	1308	40	0.0318188
70_3	k141_33211	2192	2536	-	345	15	0.045238
70_4	k141_33211	3150	4175	+	1026	12	0.0121693
71_1	k141_99587	119	328	+	210	0	0
71_2	k141_99587	378	647	+	270	1	0.00385361
71_3	k141_99587	821	1228	+	408	0	0
72_1	k141_132777	43	690	+	648	29	0.0465644
72_2	k141_132777	693	1997	+	1305	30	0.0239189
72_3	k141_132777	2105	2692	+	588	2	0.00353903
72_4	k141_132777	2745	3098	+	354	10	0.0293919
72_5	k141_132777	3668	5080	+	1413	45	0.0331361
72_6	k141_132777	5405	6424	+	1020	20	0.0204015
72_7	k141_132777	6449	7642	+	1194	16	0.0139427
72_8	k141_132777	7782	8801	+	1020	21	0.0214215
72_9	k141_132777	8881	10038	+	1158	27	0.0242598
73_1	k141_121710	341	862	+	522	7	0.0139527
74_1	k141_143832	1	780	+	780	0	0
74_2	k141_143832	777	1619	+	843	0	0
74_3	k141_143832	1612	2073	+	462	0	0
75_1	k141_177032	2	1420	-	1419	8	0.00586596
75_2	k141_177032	1474	1635	-	162	0	0
76_1	k141_165966	3	650	-	648	0	0
76_2	k141_165966	816	1946	-	1131	0	0
76_3	k141_165966	1962	2159	-	198	0	0
77_1	k141_77468	190	1584	-	1395	0	0
77_2	k141_77468	1636	2271	-	636	0	0
77_3	k141_77468	2296	3903	-	1608	0	0
77_4	k141_77468	4067	5374	-	1308	0	0
77_5	k141_77468	5625	6389	+	765	4	0.00544039
77_6	k141_77468	6514	7893	-	1380	7	0.00527777
77_7	k141_77468	8202	9299	-	1098	11	0.0104237
77_8	k141_77468	9419	10450	-	1032	0	0
77_9	k141_77468	10589	11512	+	924	0	0
77_10	k141_77468	11782	12594	+	813	0	0
78_1	k141_44277	3	104	-	102	0	0
78_2	k141_44277	205	2178	-	1974	29	0.0152856
79_1	k141_22149	1	1158	+	1158	9	0.00808659
79_2	k141_22149	1142	1264	+	123	0	0
80_1	k141_210231	735	1355	-	621	0	0
80_2	k141_210231	1381	2469	-	1089	7	0.00668808
81_1	k141_121711	1	1380	+	1380	0	0
82_1	k141_99589	2	82	+	81	18	0.231216
82_2	k141_99589	532	1308	-	777	288	0.385658
83_1	k141_110653	2	1936	-	1935	0	0
84_1	k141_44278	2	115	-	114	0	0
84_2	k141_44278	112	582	-	471	0	0
84_3	k141_44278	579	815	-	237	1	0.00439019
84_4	k141_44278	839	1168	-	330	0	0
85_1	k141_199157	2	238	+	237	0	0
85_2	k141_199157	338	1366	+	1029	0	0
85_3	k141_199157	1582	1896	+	315	0	0
85_4	k141_199157	1893	2339	+	447	0	0
86_1	k141_154936	1	234	-	234	0	0
86_2	k141_154936	259	2877	-	2619	0	0
87_1	k141_77470	148	807	+	660	0	0
87_2	k141_77470	954	1142	+	189	0	0
88_1	k141_143837	74	1537	+	1464	2	0.00142141
89_1	k141_210232	1	372	+	372	0	0
89_2	k141_210232	721	1737	+	1017	6	0.00613849
90_1	k141_88522	1	981	-	981	0	0
90_2	k141_88522	1165	1950	-	786	0	0
90_3	k141_88522	1962	2450	-	489	0	0
90_4	k141_88522	2450	4159	-	1710	0	0
90_5	k141_88522	4178	5401	-	1224	0	0
90_6	k141_88522	5441	6469	-	1029	0	0
91_1	k141_44280	2	238	+	237	0	0
91_2	k141_44280	228	602	+	375	0	0
91_3	k141_44280	708	1121	+	414	0	0
92_1	k141_121713	2	2005	+	2004	324	0.16822
93_1	k141_33212	254	1117	+	864	0	0
93_2	k141_33212	1358	3502	+	2145	0	0
93_3	k141_33212	3519	4469	+	951	0	0
94_1	k141_165967	372	524	-	153	0	0
94_2	k141_165967	550	654	-	105	0	0
94_3	k141_165967	745	1674	+	930	0	0
94_4	k141_165967	1797	3128	+	1332	0	0
94_5	k141_165967	3154	3243	+	90	0	0
95_1	k141_66423	2	655	+	654	0	0
95_2	k141_66423	652	2106	+	1455	0	0
95_3	k141_66423	2146	2487	+	342	0	0
96_1	k141_199158	82	747	-	666	189	0.29527
96_2	k141_199158	813	1433	-	621	0	0
96_3	k141_199158	1488	2090	-	603	8	0.013804
97_1	k141_88523	23	1009	+	987	0	0
98_1	k141_177034	129	605	-	477	0	0
98_2	k141_177034	624	767	-	144	0	0
98_3	k141_177034	792	2135	-	1344	0	0
98_4	k141_177034	2184	2558	-	375	0	0
98_5	k141_177034	2732	3235	-	504	0	0
98_6	k141_177034	3423	4250	-	828	0	0
99_1	k141_199159	1	297	-	297	0	0
99_2	k141_199159	294	1001	-	708	0	0
100_1	k141_210234	2	1870	-	1869	2	0.0011134
101_1	k141_22156	1	1011	+	1011	0	0
102_1	k141_33214	76	291	-	216	2	0.00963402
102_2	k141_33214	653	940	-	288	6	0.0216765
102_3	k141_33214	996	1472	-	477	4	0.00872515
103_1	k141_88526	51	1121	-	1071	0	0
104_1	k141_66425	3	881	+	879	0	0
104_2	k141_66425	935	1987	+	1053	0	0
105_1	k141_199160	3	89	+	87	0	0
105_2	k141_199160	147	1841	+	1695	0	0
106_1	k141_165969	138	311	+	174	0	0
106_2	k141_165969	408	1130	+	723	0	0
106_3	k141_165969	2815	2889	+	75	0	0
107_1	k141_121721	91	1494	-	1404	109	0.0807776
107_2	k141_121721	1494	1736	-	243	14	0.059945
108_1	k141_22160	14	1366	-	1353	2	0.00153803
109_1	k141_66427	2	340	+	339	0	0
109_2	k141_66427	363	701	+	339	0	0
109_3	k141_66427	732	1280	+	549	0	0
110_1	k141_11093	2	229	+	228	0	0
110_2	k141_11093	424	594	+	171	0	0
110_3	k141_11093	601	1638	-	1038	0	0
110_4	k141_11093	1650	4328	-	2679	0	0
111_1	k141_77474	2	226	+	225	0	0
111_2	k141_77474	565	1203	+	639	0	0
111_3	k141_77474	1331	3295	+	1965	0	0
111_4	k141_77474	3416	3694	+	279	0	0
111_5	k141_77474	3840	4211	+	372	0	0
111_6	k141_77474	4402	4731	+	330	0	0
112_1	k141_143847	61	756	+	696	1	0.00149493
112_2	k141_143847	1029	1817	+	789	0	0
112_3	k141_143847	1868	2272	+	405	0	0
112_4	k141_143847	2375	2680	-	306	0	0
113_1	k141_44289	2	631	-	630	0	0
113_2	k141_44289	628	1347	-	720	0	0
114_1	k141_66428	1	1110	-	1110	0	0
115_1	k141_88528	1	552	-	552	22	0.0414682
115_2	k141_88528	626	1108	-	483	29	0.0624715
115_3	k141_88528	1121	2077	-	957	108	0.11742
115_4	k141_88528	2080	2256	-	177	7	0.0411487
116_1	k141_132778	153	1541	+	1389	8	0.00599265
116_2	k141_132778	1556	2701	+	1146	0	0
116_3	k141_132778	2698	5721	+	3024	32	0.0110103
116_4	k141_132778	5856	7586	+	1731	18	0.0108195
116_5	k141_132778	7604	8080	-	477	1	0.00218129
116_6	k141_132778	8316	8432	-	117	2	0.0177859
116_7	k141_132778	8489	9265	+	777	9	0.0120518
117_1	k141_99591	3	158	+	156	7	0.0466879
117_2	k141_99591	201	1058	-	858	80	0.0970139
117_3	k141_99591	1430	1552	-	123	36	0.304529
117_4	k141_99591	1635	2756	+	1122	68	0.063059
117_5	k141_99591	2757	2951	-	195	32	0.170744
117_6	k141_99591	3091	4833	+	1743	193	0.11521
117_7	k141_99591	4895	5611	+	717	85	0.123348
117_8	k141_99591	5621	6262	+	642	70	0.113447
117_9	k141_99591	6369	7235	+	867	101	0.121209
117_10	k141_99591	7235	7474	+	240	7	0.0303472
118_1	k141_199161	2	319	+	318	12	0.0392632
118_2	k141_199161	399	1868	+	1470	96	0.0679493
118_3	k141_199161	2116	2634	+	519	32	0.0641526
119_1	k141_22163	286	1065	+	780	22	0.0293467
120_1	k141_66429	2	1105	-	1104	0	0
121_1	k141_210245	1	954	+	954	108	0.11779
122_1	k141_44291	1	1683	+	1683	5	0.00309113
123_1	k141_154938	1	1929	+	1929	1	0.000539385
123_2	k141_154938	2005	2313	+	309	0	0
123_3	k141_154938	2344	2940	+	597	0	0
123_4	k141_154938	3021	3338	-	318	0	0
123_5	k141_154938	3508	4464	-	957	0	0
123_6	k141_154938	4842	6431	+	1590	0	0
123_7	k141_154938	6689	6901	-	213	0	0
123_8	k141_154938	6934	7179	-	246	0	0
124_1	k141_177035	1	1404	-	1404	80	0.0592863
124_2	k141_177035	1365	2402	-	1038	35	0.0350834
124_3	k141_177035	2449	4542	-	2094	121	0.0601229
124_4	k141_177035	4762	5028	-	267	17	0.0662474
124_5	k141_177035	5186	5536	-	351	16	0.047429
125_1	k141_199162	3	62	-	60	0	0
125_2	k141_199162	77	547	-	471	0	0
125_3	k141_199162	1112	1210	+	99	0	0
126_1	k141_33228	2	691	-	690	0	0
126_2	k141_33228	1019	1078	+	60	0	0
127_1	k141_121728	3	1154	-	1152	0	0
128_1	k141_143854	625	1110	+	486	0	0
128_2	k141_143854	1337	1441	+	105	0	0
129_1	k141_77475	372	701	+	330	34	0.1072
129_2	k141_77475	1011	2843	+	1833	54	0.0306523
129_3	k141_77475	2837	4027	+	1191	25	0.0218403
130_1	k141_99596	3	1079	-	1077	0	0
131_1	k141_121731	3	1664	-	1662	6	0.00375622
132_1	k141_44297	2	1021	+	1020	0	0
132_2	k141_44297	1297	1623	+	327	0	0
133_1	k141_22165	3	1676	+	1674	0	0
133_2	k141_22165	1689	2966	+	1278	0	0
134_1	k141_199163	2	1252	-	1251	0	0
134_2	k141_199163	1249	2238	-	990	0	0
134_3	k141_199163	2249	2644	-	396	0	0
135_1	k141_99598	70	864	-	795	0	0
135_2	k141_99598	876	1094	-	219	0	0
136_1	k141_132788	19	1302	-	1284	1	0.000810338
137_1	k141_110654	2	316	+	315	0	0
137_2	k141_110654	362	1141	+	780	1	0.00133394
137_3	k141_110654	1200	2111	-	912	2	0.00228174
137_4	k141_110654	2261	3016	+	756	0	0
137_5	k141_110654	3228	4709	-	1482	0	0
137_6	k141_110654	4759	5763	-	1005	0	0
137_7	k141_110654	5797	6645	-	849	4	0.00490212
137_8	k141_110654	6645	7496	-	852	6	0.00732728
